DOI,Journal,Year,Title,Method category,Specific method,Evidence
https://doi.org/10.1002/pam.22636,Journal of Policy Analysis and Management,2024,The long-run educational benefits of high-achieving classrooms,Quantitative,Regression discontinuity,"""Using newly collected administrative data and a regression discontinuity design"""
 https://doi.org/10.1002/pam.22533,Journal of Policy Analysis and Management,2024,Long-term impacts of primary school scholarships: Evidence from Cambodia,Quantitative,Experimental ,"""We estimate a generic production function model"""
https://doi.org/10.1002/pam.4050010102,Journal of Policy Analysis and Management,1981,A word from the editor,Qualitative,Descriptive,"""The articles in this issue are a sample of the variety that we hope to be including in subsequent issues."""
https://doi.org/10.2307/3324106,Journal of Policy Analysis and Management,1981,Work tests for welfare recipients: The gap between the goal and the reality,Quantitative,Experimental,"""Staff members estimated that at least 25 percent of the registrants failed to participate or comply with the rules at one time or another.""
"
https://doi.org/10.2307/3324107,Journal of Policy Analysis and Management,1981,Throwing money at schools,Quantitative,Descriptive,"""To assess this possibility, the ""statistical significance"" of estimated effects is calculated."""
https://doi.org/10.2307/3324108,Journal of Policy Analysis and Management,1981,The sense and the nonsense of school effectiveness,Qualitative,Critical Analysis,"""Accordingly, the measures of output used in Hanushek's studies are inappropriate."""
https://doi.org/10.2307/3324109,Journal of Policy Analysis and Management,1981,The continuing hope: A rejoinder,Qualitative,Case Study,"""Their discussion is quite unspecific about the nature of these
different goals, and it contains no suggestions about how research
should be fashioned to test their idea."""
https://doi.org/10.2307/3324110,Journal of Policy Analysis and Management,1981,Evaluating the benefits and costs of the job corps,Quantitative,Data Collection,"""In estimating the program's effects, data were collected in
periodic interviews with Corpsmembers and with a comparison
group of similar youths who were never enrolled in the Job
Corps."""
https://doi.org/10.2307/3324111,Journal of Policy Analysis and Management,1981,The computer as mediator: Law of the sea and beyond,Qualitative,Case Study,"""This article scrutinizes four such cases."""
https://doi.org/10.2307/3324112,Journal of Policy Analysis and Management,1981,Ten commandments for policy economists,Qualitative,Descriptive ,"""This article examines the use of economics in government as illustrated by the experience of the natural resources agencies. It presents ten guiding rules for the practicing policy economist:.."""
https://doi.org/10.2307/3323646,Journal of Policy Analysis and Management,1982,From ideology to program to policy: Tracking the Carter human rights policy',Qualitative,Historical ,"""...the Carter human rights policy illustrated the impossibility of avoiding inconsistency in global policies-but also the certainty that, given the American tradition,...""
"
